mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns
trpo,a-2p2_7dd94fd1,2,runs\cost_function_sweep\trpo\a-2p2_7dd94fd1\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.05,64-32-32,0.30118429679599135,0.30118429679599135,0.993690242365621,0.0002443570320428286,180.0
trpo,a-2p2_d1976a7c,1,runs\cost_function_sweep\trpo\a-2p2_d1976a7c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.1,64-32-32,0.35509391493272385,0.35509391493272385,0.9977748900101089,0.0003940707978152712,180.0
trpo,a-2p2_d1976a7c,2,runs\cost_function_sweep\trpo\a-2p2_d1976a7c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.1,64-32-32,0.45104291444296934,0.45104291444296934,0.993685873141696,0.0002444898189816833,180.0
trpo,a-2p2_d2aadef6,1,runs\cost_function_sweep\trpo\a-2p2_d2aadef6\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.2,64-32-32,0.6552366347163585,0.6552366347163585,0.9977654299262888,0.0003942825164407183,180.0
trpo,a-2p2_d2aadef6,2,runs\cost_function_sweep\trpo\a-2p2_d2aadef6\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.2,64-32-32,0.750760926797652,0.750760926797652,0.9936775256712131,0.00024476549154509383,180.0
trpo,a-2p2_e6ed248a,1,runs\cost_function_sweep\trpo\a-2p2_e6ed248a\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.4,64-32-32,1.2555667774047319,1.2555667774047319,0.997745565097688,0.00039468396795740634,180.0
trpo,a-2p2_e6ed248a,2,runs\cost_function_sweep\trpo\a-2p2_e6ed248a\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.4,64-32-32,1.35012941660105,1.35012941660105,0.9936656119504215,0.00024533528224196917,180.0
trpo,a-2p2_6b6606af,1,runs\cost_function_sweep\trpo\a-2p2_6b6606af\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.05,64-32-32,0.3656983862525211,0.3656983862525211,0.9935555501974006,0.000289121054786956,180.0
trpo,a-2p2_6b6606af,2,runs\cost_function_sweep\trpo\a-2p2_6b6606af\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.05,64-32-32,0.29026539509674754,0.29026539509674754,0.9959041989690594,0.00019768425194652834,180.0
trpo,a-2p2_b115ee9b,1,runs\cost_function_sweep\trpo\a-2p2_b115ee9b\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.1,64-32-32,0.5151950696200682,0.5151950696200682,0.9935883533989958,0.00028910827424604823,180.0
trpo,a-2p2_b115ee9b,2,runs\cost_function_sweep\trpo\a-2p2_b115ee9b\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.1,64-32-32,0.44042178407375343,0.44042178407375343,0.9959066149847327,0.0001978975026216485,180.0
trpo,a-2p2_36adba28,1,runs\cost_function_sweep\trpo\a-2p2_36adba28\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.2,64-32-32,0.81417966472147,0.81417966472147,0.9936544176065573,0.0002890860600597077,180.0
trpo,a-2p2_36adba28,2,runs\cost_function_sweep\trpo\a-2p2_36adba28\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.2,64-32-32,0.7407843290046703,0.7407843290046703,0.9959092836492088,0.0001983385096688167,180.0
trpo,a-2p2_f147ec91,1,runs\cost_function_sweep\trpo\a-2p2_f147ec91\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.4,64-32-32,1.4121839571175,1.4121839571175,0.9937853553669906,0.0002890509677746587,180.0
trpo,a-2p2_f147ec91,2,runs\cost_function_sweep\trpo\a-2p2_f147ec91\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.4,64-32-32,1.3415749738714489,1.3415749738714489,0.9959116547480716,0.00019923392089085887,180.0
