mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_8c31322a,1,runs\cost_function_sweep\trpo\a-2p2_8c31322a\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.05,64-32-32,0.1811499839719923,0.1811499839719923,0.9976834949289496,0.000396512713214,180.0,0.9453851383923624
trpo,a-2p2_8c31322a,2,runs\cost_function_sweep\trpo\a-2p2_8c31322a\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.05,64-32-32,0.2252244019395345,0.2252244019395345,0.9934490743667952,0.0002497693271921,180.0,0.9422528312693519
trpo,a-2p2_470b266b,1,runs\cost_function_sweep\trpo\a-2p2_470b266b\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.331389146083216,0.331389146083216,0.9976687875972364,0.0003966274467883,180.0,0.9453673845639001
trpo,a-2p2_470b266b,2,runs\cost_function_sweep\trpo\a-2p2_470b266b\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.1,64-32-32,0.3751636628770477,0.3751636628770477,0.9934474906997544,0.000250120186492,180.0,0.9422254032726827
trpo,a-2p2_f4ba3980,1,runs\cost_function_sweep\trpo\a-2p2_f4ba3980\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.2,64-32-32,0.6318787323378792,0.6318787323378792,0.9976397234551148,0.0003968373010843,180.0,0.9453307755919639
trpo,a-2p2_f4ba3980,2,runs\cost_function_sweep\trpo\a-2p2_f4ba3980\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.2,64-32-32,0.6750547579913386,0.6750547579913386,0.9934450471306634,0.0002508164589552,180.0,0.9421648023006836
trpo,a-2p2_de827d73,1,runs\cost_function_sweep\trpo\a-2p2_de827d73\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.4,64-32-32,1.2329206017455832,1.2329206017455832,0.9975814244840936,0.0003971998234518,180.0,0.9452528330837784
trpo,a-2p2_de827d73,2,runs\cost_function_sweep\trpo\a-2p2_de827d73\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.4,64-32-32,1.2748803932876485,1.2748803932876485,0.9934434828452636,0.0002521726117079,180.0,0.9420226946366193
trpo,a-2p2_7e1ba8ce,1,runs\cost_function_sweep\trpo\a-2p2_7e1ba8ce\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.05,64-32-32,0.4856570260438375,0.4856570260438375,0.9861512310779234,0.0002851849889408,180.0,0.8968985194325811
trpo,a-2p2_7e1ba8ce,2,runs\cost_function_sweep\trpo\a-2p2_7e1ba8ce\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.05,64-32-32,1.0299139217005178,1.0299139217005178,0.9565168099121212,0.0002602758900451,180.0,0.9083994642711363
trpo,a-2p2_ac356795,1,runs\cost_function_sweep\trpo\a-2p2_ac356795\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.1,64-32-32,0.6346005096354308,0.6346005096354308,0.98620786736271,0.0002851871588108,180.0,0.8968566664659505
trpo,a-2p2_ac356795,2,runs\cost_function_sweep\trpo\a-2p2_ac356795\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.1,64-32-32,0.4899248323099681,0.4899248323099681,0.99249791043562,0.0002038985758066,180.0,0.9073774941780384
trpo,a-2p2_417e426d,1,runs\cost_function_sweep\trpo\a-2p2_417e426d\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.2,64-32-32,0.9324707677353978,0.9324707677353978,0.986322037255939,0.0002851978944332,180.0,0.8967840118905855
trpo,a-2p2_417e426d,2,runs\cost_function_sweep\trpo\a-2p2_417e426d\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.2,64-32-32,0.7895131932379387,0.7895131932379387,0.9925296588915352,0.000204345194366,180.0,0.9072029134796943
trpo,a-2p2_e4c96ed7,1,runs\cost_function_sweep\trpo\a-2p2_e4c96ed7\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.4,64-32-32,1.528178820850451,1.528178820850451,0.9865520488981188,0.0002852346631627,180.0,0.8966311331287694
trpo,a-2p2_e4c96ed7,2,runs\cost_function_sweep\trpo\a-2p2_e4c96ed7\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.4,64-32-32,1.3887500276305564,1.3887500276305564,0.992590555549698,0.0002052570544886,180.0,0.9068524988194547
trpo,a-2p2_7dd94fd1,1,runs\cost_function_sweep\trpo\a-2p2_7dd94fd1\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.05,64-32-32,0.2050236044526298,0.2050236044526298,0.9977797419402002,0.0003939629159609,180.0,0.9456234453965904
trpo,a-2p2_7dd94fd1,2,runs\cost_function_sweep\trpo\a-2p2_7dd94fd1\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.05,64-32-32,0.3011842967959913,0.3011842967959913,0.993690242365621,0.0002443570320428,180.0,0.9423592518966939
trpo,a-2p2_d1976a7c,1,runs\cost_function_sweep\trpo\a-2p2_d1976a7c\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.1,64-32-32,0.3550939149327238,0.3550939149327238,0.9977748900101088,0.0003940707978152,180.0,0.9456207063134331
trpo,a-2p2_d1976a7c,2,runs\cost_function_sweep\trpo\a-2p2_d1976a7c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.1,64-32-32,0.4510429144429693,0.4510429144429693,0.993685873141696,0.0002444898189816,180.0,0.9423631511865143
